Martin Manderas: 	::His eyes wander across the seemingly ancient city that sprawls around him, this spot on ~
Martin Manderas: 	in his eyes::  If it is not too late, would you care to see
the rest of the house?
Maia Lndmt: 	Are you a hermit sire, in such a city as this I will be most
inclined now to cause you to 
Maia Lndmt: 	venture out more.. to see what brilliance is, when modern and
old unite in one bustling 
Maia Lndmt: 	marriage.  New Oreleans.   ::And having already intented to
stay, so long as he likes.. she 
Maia Lndmt: 	graces a gentle bow in his respect, before turning and strolling
toward the door.  A quiet, 
Maia Lndmt: 	and very slowed step to allow him to take the lead::
Martin Manderas: 	I take that as a yes, to the continued tour?  ::smiling he
makes his way to her and holds ~
Martin Manderas: 	out his arm for her::  I would explore this fine city, but
I am not one for venturing out ~
Martin Manderas: 	alone.  My habits and style is far too antiquated for this
day and age.
Maia Lndmt: 	Then a thousand pretty maidens could be called out to join you,
of this I hold no doubt..
Maia Lndmt: 	::Her eyes moving animatedly over his profile, as she takes his
arm, each time with a more
Maia Lndmt: 	warm and relaxed caress and security:: and aye, I would very
much like to see your home in 
Maia Lndmt: 	all its glory.. for in a home, a master can be discovered...
Martin Manderas: 	A thousand pretty maidens I don't want, I prefer to keep
myself in company that I ~
Martin Manderas: 	enjoy.  ::Making his way throught he roman parlor, he
passes back into the foyer and ~
Martin Manderas: 	across the hall into a large dining room, set up very much
like a Gaelic Feast Hall, the ~
Martin Manderas: 	table is thick and sturdy and the walls are bricked over
and the fireplace seems ready to ~
Martin Manderas: 	cook on.  Everything is styled with finery, but in a rather
rough made standard:: My Celtic~
Martin Manderas: 	hall... My family only had the most scant dealings with
them, and even intermingled a bit, ~
Martin Manderas: 	but for the most part it is my own fascination.
Maia Lndmt: 	Fascination.. ::Her gaze flitters over every inch of detail,
consuming both color and 
Maia Lndmt: 	natural affects.  Remaining, less boldly at his arm now as she
looks about:: Pray tell me 
Maia Lndmt: 	what you find fascinating... 
Maia Lndmt: 	:: A sparkle in her highland eyes, as she awaits his response::
Martin Manderas: 	The strength of the people, and the natural beauty of them.
Such strong and powerful~
Martin Manderas: 	people, but in each and every one of them is engrained an
artistic wonder, their music and ~
Martin Manderas: 	their speech is all wrought with mystic wonder and
excitement, and even at their most ~
Martin Manderas: 	savage times they are beutifully historic and magestically
passionate.
Maia Lndmt: 	Aye.. do you think it is by such hardship that men are born?
::her gaze lowering some in
Maia Lndmt: 	distant thought:: a refiners fire, so constant as has been the
fires of the Celtic.. Gaelic 
Maia Lndmt: 	and other highland races, is bound to bring forth eternal flames
of love, hatred, hope and 
Maia Lndmt: 	long suffering.  Aye.  ::she smiles, closing her eyes:: I can
see we share a love of many 
Maia Lndmt: 	things..
Martin Manderas: 	I have always loved the Highlanders, all of the Celtic
people... you have stumbled on yet ~
Martin Manderas: 	another weakness of mine.  That Fae blood that apparently
runs through the veins of your ~
Martin Manderas: 	people is like a sirens call to me.  The Blood of the
Tuatha De Dannan is beautiful to me.
Martin Manderas: 	I am lost in its presence, I remember the first.....
Scottish lady I ever met.
Maia Lndmt: 	I am very flattered by such complimentary speach, even though I
am yet only distantly the 
Maia Lndmt: 	focus of your interest. ::the air seems to still sweetly around
them, it is as if the 
Maia Lndmt: 	recollections of many have been summoned by these relics,
smiling she waits a moment before 
Maia Lndmt: 	bidding him share his memory:: She must have been amarvel, I see
her affects still upon your
Maia Lndmt: 	soul...
Martin Manderas: 	Oh she was, full of fire she was.  Hair very much like
yours, pale soft skin.  She was ~
Martin Manderas: 	fiesty beyond words and her father as stubborn as an Ox.
He refused to allow us to see ~
Martin Manderas: 	each other because I wasn't a good Scottsman.  ::He
chuckles and looks at the scnonces on ~
Martin Manderas: 	the wall and the Tartan hanging on the rear wall::  She got
her way though, she told her ~
Martin Manderas: 	father that if he didn't allow it she would never marry and
become a Bean Sidhe and haunt ~
Martin Manderas: 	the family for all eternity.  I guess that means something,
but he gave us freedom, knowing~
Martin Manderas: 	that her fancy would be skewed to someone else before long.
Maia Lndmt: 	Ah, and superstition is so heavily carried in those hills..
::his story not all that 
Maia Lndmt: 	different than her own, and its connection is gently apparant as
she casts her gaze across 
Maia Lndmt: 	the room as he weaves the story, and the untold ending:: but a
mans worth is not his blood, 
Maia Lndmt: 	for every man has nobility and worth mingled within.. it is what
he does with that blood, 
Maia Lndmt: 	that makes him worth loving.  I married a 'fine Scotsman'....
and a man has never treated me
Maia Lndmt: 	less kindly and fine, in all my years.  ::her voice quiets, as
that was highly too much 
Maia Lndmt: 	information to admit, in the presence of one yet so unknown.. so
what is left but to disarm 
Maia Lndmt: 	him with a smile, and gesture toward the tartan:: What Clan
belongs to these colors?
Martin Manderas: 	::His voice rings out in a perfect Scottish Brogue:: Aye
Lass, thaes are the colors of Clan~
Martin Manderas: 	MacEwan, the woonderful famly that my wee Brigit came from.
I will never forget them, and ~
Martin Manderas: 	I would like to apologize on behalf of all decent men that
someone treated ya badly.  It ~
Martin Manderas: 	should never happen to such a fair sprite like yerself.
Martin Manderas: 	::With that he smiles and touches her cheek softly, his
voice back to normal:: I spent a ~
Martin Manderas: 	few years in Edinburough.
Maia Lndmt: 	::She smiles at the beautiful accents, every word causing a hint
of gentle stain
Maia Lndmt: 	her features; like the final few strokes that make an artists
rendition complete.  Glad for 
Maia Lndmt: 	his effort, and touched by his apology she merely tips her head
accepting it for the sake of
Maia Lndmt: 	all pain past.:: My clan comes from Oban.. MacDougal, one of the
sons of Somerled
Maia Lndmt: 	Who opposed Robert the Bruce, and who died on many battle
fields, but non less driven by 
Maia Lndmt: 	their loyalty to the true king of Scotland...
Martin Manderas: 	I am sorry if I have offended m'lady... I simply meant to
bring out my own true feelings ~
Martin Manderas: 	about how ashamed that I am that any man has hurt you.  If
you think I was mocking your ~
Martin Manderas: 	heritage I assure you that I would do no such thing,
especially to one like yourself.
Martin Manderas: 	::With that he drops to a knee, head bowed and hand going
to the hem of her dress asking ~
Martin Manderas: 	for forgiveness::
Maia Lndmt: 	Och.. Martin.. ::the own natural tones of her crooning voice,
seems slightly more elevated 
Maia Lndmt: 	at this humbling display.  A hand responsively touching over the
crow of his bowed head, 
Maia Lndmt: 	easing a few of the rich fibers with her twining fingertips:: I
did nae think that at all, 
Maia Lndmt: 	not ever... would I consider such mockery from you. I am not so
easily offended, but I 
Maia Lndmt: 	feel I should join you upon your knee's.  Asking you to forgive
me for appearing thus 
Maia Lndmt: 	offended..
Martin Manderas: 	No M'lady... I will stand on your leave, so long as you
wish it.  I would never want to see~
Martin Manderas: 	such a hurt in your eyes again, it almost broke my heart in
twain... do you forgive me?
Maia Lndmt: 	Then I shall be more kind in my recollections, you feel so
much.. it could verily take
Maia Lndmt: 	my breath from me, but do not change it.  ::Her knee's folding
just enough, that she may 
Maia Lndmt: 	slide one hand beneath his right arm and urge him to stand to
his fully height once more:: 
Maia Lndmt: 	If you needed my forgiveness you would have it, even before it
was needed..
Martin Manderas: 	::With a heavy intake of breath he stands and looks into
her eyes:: You are too kind to me~
Martin Manderas: 	even though we just met, I must say that I feel like we are
long time friends.  Should we ~
Martin Manderas: 	move along?
Maia Lndmt: 	::She chortles softly, nodding to his query with bided
anticipation:: Perhaps we knew each 
Maia Lndmt: 	other in another life, we only just now have to learn less
formality.. aye?
MeneIaus: 	::Once again he holds out his arm for her, waiting to continue the tour:: Perhaps, but it's~
MeneIaus: 	not likely... would be nice to think that once we looked over a sunset together.
Maia Lndmt: 	::Having fell into an ease with her guide, she joins him once again, her hand curled
Maia Lndmt: 	around the strength of his limb and her eyes already dancing forward across the treasures
Maia Lndmt: 	forthcoming.  His comment, sweetly said but somewhat saddening causing a quiet withdrawal of
Maia Lndmt: 	her gaze to the carpet beneath them; she nodded::  Such natural wonders are meant to be 
Maia Lndmt: 	shared.. no doubt...
MeneIaus: 	Yes they are, even the simpler things are turned into something spectacular when shared ~
MeneIaus: 	good company... ::He moves out of the dining hall and back to the central hall, climbing ~
MeneIaus: 	stairs lazily with her, all the while taking quick glances of her and smiling::
Maia Lndmt: 	::Not at all unaware of his stolen glances, she retains a coy approach not returning his
Maia Lndmt: 	inviting considerations but rather lifts her dainty, yet proud chin to cast a floating gaze 
Maia Lndmt: 	over every detail as it comes into view.  A tickling strand of crimson, slips along her 
Maia Lndmt: 	cheek between them; enhancing the blush that has seemed to settle permanently in her 
Maia Lndmt: 	features.:: (s) so tell me.. with all of your relics and history, do you share you home with
Maia Lndmt: 	spectres perhaps?
MeneIaus: 	No, Spectres care not for this place it seems... something that I am glad to say for I care~
MeneIaus: 	none too much for them in equal measure.  These Relics are either purchased or passed down.~
MeneIaus: 	::Cresting the winding stairs he heads straight back with her, his hand pushing open a set ~
MeneIaus: 	of finely crafted double doors, the slight creek breaks the conversation and the smell of ~
MeneIaus: 	old paper washes over them both.  Old leathers, old papers... old books fill their vision. ~
MeneIaus: 	His Library::  This is the Library.
Maia Lndmt: 	(vs) we are all spectres to something... ::her own response suddenly distracted, and before 
Maia Lndmt: 	eyes have chance to feast on the display the scent so familiar and personal to her causes 
Maia Lndmt: 	her steps to cease directly.  Letting the scent and imagination of leagons of books fill her
Maia Lndmt: 	thoughts as she lifts her chest to a fulfilling inhaling.  A flutter of lash is followed by 
Maia Lndmt: 	her focus and she smiles easily enchanted:: No.. 'tis heaven... the kind I wish to dwell in.
MeneIaus: 	::The books go from newest close to the front to the oldest in the rear, the diamond ~
MeneIaus: 	patterned case in the rear holding none other than scrolls, all glass cased and airtight:: ~
MeneIaus: 	This is yet another pride of my collection... I have writings from as far back as the ~
MeneIaus: 	1400's BC.  Most of this collection has been cared for and passed from father to son...
Maia Lndmt: 	::She nods quietly, looking toward him knowing the very manner in which such a collection
Maia Lndmt: 	is gathered.  The thought of his love for literature tucked into the gentle confines of her 
Maia Lndmt: 	consciousness; as another shared attribute.  As her eyes drift from spine to spine of the
Maia Lndmt: 	older section of books.  Titles appearing in her thoughts:: I gave some of my collection 
Maia Lndmt: 	away this year... a single book for everyone I loved.  
MeneIaus: 	That's admirable, giving something of esteemed value to you for a higher purpose shows ~
MeneIaus: 	a caring heart.  Have you ever feasted your eyes on a scroll from a civilization that no ~
MeneIaus: 	longer exists?  Not in Geography or society? ::Moving back to the scrolls along the back ~
MeneIaus: 	wall::
Maia Lndmt: 	::Quoting the very reason behind her gifts:: "Rings and jewels are not gifts, they are 
Maia Lndmt: 	excuses for gifts.  The only true gift, is a portion of thyself" ::Looking along the rows 
Maia Lndmt: 	with encouraged curiosity she moves in matched grace, to his every step:: Please, show me..
MeneIaus: 	Do you know of Thera?  The island in the mediteranean that was sunk due to a volcanoe?
Maia Lndmt: 	Aye.. I have heard the legand.. ::A touch of lash to her cheek, as she shifts her attention 
Maia Lndmt: 	from the library to his face; fixing her gaze to him quietly::
MeneIaus: 	::A hand reaches down and taps a few buttons on a panel and the sound of air being ~
MeneIaus: 	released is heard as the glass doors part.  With a finger he pulls one open and steps ~
MeneIaus: 	inside the room with her and over to a desk, motioning for her to sit down::  Most of these~
MeneIaus: 	are letters from one to another, there is also a map, and a few sermons on the qualities ~
MeneIaus: 	of the Gods... philosophy, I have it all.
MeneIaus: 	Which would you care to see first?
Maia Lndmt: 	::Following as directed, she withdraws her light touch from his arm and settles within the 
Maia Lndmt: 	gracious confines of a chair.  Watching him as yet, and not the room.  Curling her hands w
Maia Lndmt: 	within her lap, like a quiet student she smiles:: the qualities of the gods.. hm.. perhaps, 
Maia Lndmt: 	but a correspondance between two persons would claim my curiosity; words exchanged in
Maia Lndmt: 	pen can hold such power...
MeneIaus: 	::Smiles and pulls out a few scrolls for her, to her surprise they are supple and smell of ~
MeneIaus: 	oils and herbs.  He steps over to her and sets them down in front of her, and sits on the ~
MeneIaus: 	corner of the desk to watch her as she reads:: These are from my ancestor Menelaus and his ~
MeneIaus: 	gypsy woman that he met in the forum... love letters mostly.
Maia Lndmt: 	Ah, I confess I had hoped they would be... ::her eyes touch over his breifly, letting a 
Maia Lndmt: 	moment of silence between them before she reaches with a gardners hand to take up the first;
Maia Lndmt: 	gingerly unwinding it as if it were egg shell.  The scent setting a mood for the words about
Maia Lndmt: 	to be shared::
MeneIaus: 	::The first is a letter from Menelaus, apparently left for her as he left the pallazo ~
MeneIaus: 	hastily.  It's in greek, and tells of how his father called him home to Sparta, his sister ~
MeneIaus: 	was ill and in case of something tragic the prince should be present...  much apologies and~
MeneIaus: 	talk of missing her until he returns and how she needs not worry for anyting while he is ~
MeneIaus: 	gone, all her food and clothing will be paid for in advance::
Maia Lndmt: 	It pleases me aye.. should it not? ::Her question one that does not require an answer, as 
Maia Lndmt: 	she embarkes on the next scroll.  Less exchange between them as she becomes more
Maia Lndmt: 	engrossed by the story unfolding.  A smile, brief but gentle at a loyalty she once
Maia Lndmt: 	knew herself.  She sets it with the others::
MeneIaus: 	::Then next scrolls folow the same line, there are 32 in all speaking back and forth from ~
MeneIaus: 	Thera and Sparta, Thera and Egypt, Thera and Mycenai... Menelaus apparently travels ~
MeneIaus: 	frequently doing duties for his king, his father.  Dione stays in Thera, in the villa that ~
MeneIaus: 	was paid for by Menelaus with servants hired and foodstuff bought.  Luxuries given, and ~
MeneIaus: 	every need taken care of for her.  The last one is from Dione, tragic and rather frantic, ~
MeneIaus: 	she speaks of a man she met and an illness befalling her, the soothsayers and Chirurgeons ~
MeneIaus: 	foretell death for her::
Maia Lndmt: 	::Her breath is caught, naturally and with ease as she continues now to read each piece 
Maia Lndmt: 	without her previous hesitation.  Noting the many locations of the absent lover, a pause as 
Maia Lndmt: 	she glances toward Martin.  She says nothing but she wonders.. if this women was loved, but 
Maia Lndmt: 	held captive by his many departures; much like she had been.  Nothing is confessed, as she  
Maia Lndmt: 	reaches for the final scroll in the series.  Her countanance softening, as her lips part
Maia Lndmt: 	slightly::  
MeneIaus: 	Yes, I should have warned you about the sad ending.  My Forefather indeed had a strange love
MeneIaus: 	for this woman Dione.  The story is typical for the time though.  Except for the station of~
MeneIaus: 	the loers in society.. something like that was risque' to say the least.
Maia Lndmt: 	Aye.. ::easing the scroll back into its trained funnel, she places it with the others and 
Maia Lndmt: 	turns so she may fully read his expression:: Did he return then... ?
MeneIaus: 	Of course he did...  ::Reaches out to grab another set of scrolls::  This is his journal of~
MeneIaus: 	his last two days alive.  This ends the Theran Chronicles..
Maia Lndmt: 	::Her brow forms a small pucker over her gaze, as she looks to the final few
Maia Lndmt: 	pieces to a tragic story:: (s) his.. death.. not her's?
MeneIaus: 	Read... ::He smiles at her again, brushing a finger across her cheek.  and will quote ~
MeneIaus: 	directly from the scrolls::  ~ I have returned to her, only to find her worse than I had ~
MeneIaus: 	imagined.  Her eyes are sunken and hollow, and her skin like sheets of white silk.  The ~
MeneIaus: 	Apothecaries and Soothsayers can do nothing for her but speak ill omens.  The Priests refuse
MeneIaus: 	to go near her.  All I am left with is my own magics, practiced since I was a boy.  None of~
MeneIaus: 	it is working though.  When I went to the forum earlier a soothsayer there blanched as he ~
MeneIaus: 	looked upon me and claimed to all the wolrd that I would be the fall of Thera, and ran off ~
MeneIaus: 	maddened as the guards hacked him down for speaking against nobility.  I returned to Dione ~
MeneIaus: 	quickly and with discontenet on my brow.  She got worse... I tried everything all through ~
MeneIaus: 	the night until I passed out on the dawn of the next morn...  When I awoke she was all but ~
MeneIaus: 	gone.  Still beautiful, but there was little or no color to her skin anylonger, and she ~
MeneIaus: 	laid there in a feverish haze.  There was one last resort for him... to call upon Hades ~
MeneIaus: 	God of the Underworld... to plea for her life... with my own if needed.  I must prepare.
Maia Lndmt: 	::Her lashes fall as does her gaze, as slowly she partakes of the story's conclusion.  A
MeneIaus: 	::here the handwriting gets shakey and rather jumbled:: She has gone, tonight she died... ~
Maia Lndmt: 	(ack)
MeneIaus: 	There was nothing I could do...Hades made a deal... if I unleashe every ounce of power I ~
MeneIaus: 	have he will send her back to me.  So tonight I will throw out every ounce of magic in me ~
MeneIaus: 	and free it to the world, I will become a mortal man for her.
Maia Lndmt: 	::A fingertip tracing habitually along the crease between pressed lips as she reads.  Not 
Maia Lndmt: 	wanting to hear of deals made with the devil.. not wanting to be reminded of Memnoch and his
Maia Lndmt: 	binds with hell.  She closes her eyes, but still his voice continues on and every word wraps
Maia Lndmt: 	around her with grave affect.  A sliver of a tear breaks loose from her lash, and trickles 
Maia Lndmt: 	over a cheek now made pallid.  She exhales, a breath she had kept all the while within her 
Maia Lndmt: 	throat as her eyes open and she looks to him; the last scroll still gently clasp in her 
Maia Lndmt: 	hand:: (s) You read it so.. personally... ::the undeinable look of wondernment dancing 
Maia Lndmt: 	within her moistened orbs::
Maia Lndmt: 	(read=quote)
MeneIaus: 	I have read more than a thousand times....  it is my forefather... my families first great ~
MeneIaus: 	tragedy.  It's a part of me.  Just to finish it up, that night is when Thera fell into the ~
MeneIaus: 	Ocean...  Menelaus and Dione bot sank with it as far as it has ever been known.  So they ~
MeneIaus: 	say... he showed up once as the Husband of Helen of Troy once.
Maia Lndmt: 	Immortal then... ::not questioningly oddly enough, she lays the scroll aside and stares a 
Maia Lndmt: 	moment in contemplation at the clusters of parchment that retain what most would deem a
Maia Lndmt: 	fictional fable of sorts.  Touched both by the love Menelaus had for Dione.. but also piqued
Maia Lndmt: 	by the man before her; his unfaltering belief.  Her gaze drops before arching over his 
Maia Lndmt: 	face once more:: (s) what a treasure you have there... 
MeneIaus: 	Thank you, I take pride in the more than 3000 years of recorded history of my family and ~
MeneIaus: 	who we are.  it's a curiosity of sorts.  Starting with Menelaus and most likely ending with~
MeneIaus: 	myself.  Very tragic indeed.  ::Smiles and places a hand on her, patting it once before he ~
MeneIaus: 	gives it a gentle squeeze:: Once again you sit someplace that no other human has ever sat ~
MeneIaus: 	save one.  Myself.
Maia Lndmt: 	Nothing is ended.. if its recorded; it is the only true
immortality. The word. ::her eyes 
Maia Lndmt: 	fall over the rhythmetic introduction of his touch to her hand,
and she smiles at his 
Maia Lndmt: 	comment.. a soft smile that blooms to a bemused one::  You
assume my humanity.. ::she 
Maia Lndmt: 	touches her eyes to his, a lifted brow very subtle:: 
MeneIaus: 	You are far to beautiful to be an animal, and your head isn't
shaped right for an Alien... ~
MeneIaus: 	So I will have to deduce humanity for the moment ::He smiles at
her and twinks his nose ~
MeneIaus: 	once and his eyes glitter::
Maia Lndmt: 	I am the namesake of the goddess Maia.. does that not make a
portion of me eternal? ::her 
Maia Lndmt: 	tones are equally playful to his own, as she only tantalizes the
topic with a man she is 
Maia Lndmt: 	more and more intruiged by.  Letting her lithe figure fall back
further into the embrace of 
Maia Lndmt: 	the chair, she touches her head to its back.. gazing upward:: I
am glad though Martin.. to 
Maia Lndmt: 	be sharing this place with you then, we alone for now...
MeneIaus: 	Yes, at this hour the manservants are gone, so it is just you and
I alone here.  Your name ~
MeneIaus: 	is eternal, but are you?  Had my father given me the name Menelaus
when I was born, would I~
MeneIaus: 	be eternal?
Maia Lndmt: 	(s) Did he.... ::The query a bold one, but none the less offered
as she retains her quiet
Maia Lndmt: 	incline and position.  The spare digits of her right hand
trickling along the edge of the
Maia Lndmt: 	chairs arm::
MeneIaus: 	Yes...  All males in my family are named after him.
Maia Lndmt: 	::A color touching her lips, before it spreads to her cheeks.
She sits upright, to allow a 
Maia Lndmt: 	look to be exchanged:: Then aye... I consider at least a portion
of you to be eternal..
Maia Lndmt: 	::Rising from the chair in languid grace, she ponders in the
depth of the room
MeneIaus: 	Fascinating... so are youhuman?
Maia Lndmt: 	what hour it is exactly.  Her gaze floating, almost seductively
between his fixed eyes:: 
Maia Lndmt: 	Aren't we all...?
MeneIaus: 	No...  not all are.
Maia Lndmt: 	Aye.. but we all live amongst them, and participate in life as
human.  I guess one will 
Maia Lndmt: 	never be able to shift these from the others.  ::Her words as
evasive, and soft as his as 
Maia Lndmt: 	she touches the pads of her fingertips along her waistline.
Dipping her hand into the 
Maia Lndmt: 	pocket to retrive a glistening, antique watch.  Her focus not
withdrawn for a space of time,
Maia Lndmt: 	until.. the silence is extremely sweet.  She cheeks the hour::
(s) The dawn arrives soon... 
MeneIaus: 	We?  So you are saying that you only pose as human?
MeneIaus: 	I should let you go then, it is a late hour and I feel foolish for
keeping you this long.
Maia Lndmt: 	I have neither confessed or invited any conclusion.. ::the watch
is slipped from view once 
Maia Lndmt: 	again as she moves closer, letting only the air become barrier
between them:: I would stay 
Maia Lndmt: 	many hours in your company.. but I do not venture in the
daylight.  It is so revealing in a 
Maia Lndmt: 	city such as this... ::her eyes warm as her does her smile::
Maia Lndmt: 	and it steals away its charm..
MeneIaus: 	I could set you up with a guest room here if you would trust me?
I will even allow you to ~
MeneIaus: 	lock your door from the inside if that makes you feel safe.
Maia Lndmt: 	Do I have need to fear you entry? ::the thought does tickle
through her mind a moment, 
Maia Lndmt: 	knowing the hour has grown mightily close to danger::
Maia Lndmt: 	(your entry even)
MeneIaus: 	That is for you to decide, I know that I wouldn't enter the
sleeping chambers of a lady ~
MeneIaus: 	wothout invitation, and I would hope that you would trust me.  But
we are such newly met ~
MeneIaus: 	friends.
Maia Lndmt: 	Aye.. that we are and so much is revealed with time.. ::turning
toward the door in which
Maia Lndmt: 	they entered, she hesitates to glance across her shoulder:: I
have a servent, who would stay
Maia Lndmt: 	with me... just outside, if you would not mind terribly?
MeneIaus: 	I mind not at all...  feel free to invite them to visit, Xavier
will be here shortly and ~
MeneIaus: 	 will show him the way.  ::Holds his arm to take her to her
sleeping chamber::
Maia Lndmt: 	::Curling her hand once more into place upon his offered arm she
smiles and nods to the 
Maia Lndmt: 	arrangement:: Anything inside of the house would be most
pleasing, a window might distract 
Maia Lndmt: 	my rest....
MeneIaus: 	I understand completely.  so it shall be done.  ::Walks her to the
left out past the door ~
MeneIaus: 	and down the hall a ways, finally coming to a large thick wooden
door and opening it.  The ~
MeneIaus: 	design is Vctorian with drapery and a four poster bed with Canopy
and all, the window is ~
MeneIaus: 	covered in draperies and a picture of some sorts... overall the
place seesm safe and secure~
MeneIaus: 	:: Here you go M'Lady, that door over there leades to a washroom
if you need to freshen up~
MeneIaus: 	and there should be various gowns in the closet in case you wish
to slip into something ~
MeneIaus: 	easier to sleep in.  For now I will leave you to your rest, for it
certainly isn't beauty ~
MeneIaus: 	that you need more of ::Lifts her hand and kisses her knuckle::
Maia Lndmt: 	::She unwinds her hand, and steps into the chamber.. turning
with a smiling gaze:: Nyles 
Maia Lndmt: 	has been prompted to bring some of my items.. he shall arrive
shortly.  It should be easy to
Maia Lndmt: 	sleep in such elegance.. will you be here when I awake?
MeneIaus: 	I will be in the house, yes.  Here, most likely not.. I don't
think we are that good of ~
MeneIaus: 	friends yet. ::Flashes a devilish smile and turns to go to his own
chambers:: Till the ~
MeneIaus: 	morrow my enchanting lady.
Maia Lndmt: 	::She chortles softly:: I did mean in the home.. it will be
obvious soon that Nyles does not
Maia Lndmt: 	allow visitors... ::she watches him turn:: goodnight Menalaus...
Maia Lndmt: 	(Menelaus)
OnlineHost: 	Maia Lndmt has left the room.
